ubicacion;clase;subclase;nombre;cantidad;marca;modelo;estado;normativa;garantia;vencimientoGarantia;planMantencion;tipoEquipo;idConvenio;idInstitucion;eliminado
;ENERGIA;CALORICA;BOMBA N 5 DE RECIRCULACION;;DAB;1D1321B33;REGULAR ;;;;;industrial;0;3;0
;ENERGIA;CALORICA;BOMBA N 6  DE RECIRCULACION;;DAB;1D1321B33;REGULAR ;;;;;industrial;0;3;0
;ENERGIA;CALORICA;BOILER N 1;;DAB;1D1321B33;REGULAR ;;;;;industrial;0;3;0
;ENERGIA;CALORICA;BOILER N 2;;CORDOVARI;13377;BUENO;;;;;industrial;0;3;0
;ENERGIA;CALORICA;BOILER N 3;;CORDOVARI;13377;BUENO;;;;;industrial;0;3;0
;MANEJO DE LIQUIDOS;ELEVACION DE AGUA POTABLE;BOMBA SUMERGIBLE  DESAGUE;;KSB;S/N;REGULAR ;;;;;industrial;0;3;0
;MANEJO DE LIQUIDOS;ELEVACION DE AGUA POTABLE;BOMBA JOCKEY RED INCENDIO;;ITT;1SVB2D5FO;REGULAR ;;;;;industrial;0;3;0
;MANEJO DE LIQUIDOS;ELEVACION DE AGUA POTABLE;BOMBA RED INCENDIO ;;ITT;8100;REGULAR ;;;;;industrial;0;3;0
;APOYO INDUSTRIAL;EXTRACCION;EXTRACTOR  IG-01 PARTO 1;;VEMAQ;CCLI-380 SA;REGULAR ;;;;;industrial;0;3;0
;APOYO INDUSTRIAL;EXTRACCION;EXTRACTOR IG-02 PARTO 2;;VEMAQ;CCLI-380 SA;REGULAR ;;;;;industrial;0;3;0
;APOYO INDUSTRIAL;EXTRACCION;EXTRACTOR  IG-03  PABELLON 1;;VEMAQ;CCLI-380 SA;REGULAR ;;;;;industrial;0;3;0
;APOYO INDUSTRIAL;EXTRACCION;EXTRACTOR  IG-04  PABELLON 2;;VEMAQ;CCLI-380 SA;REGULAR ;;;;;industrial;0;3;0
;APOYO INDUSTRIAL;EXTRACCION;EXTRACTOR  IG-05  PABELLON 3;;VEMAQ;CCLI-380 SA;REGULAR ;;;;;industrial;0;3;0
;APOYO INDUSTRIAL;EXTRACCION;EXTRACTOR  IG-06  PREPARTO;;VEMAQ;CCLI-380 SA;REGULAR ;;;;;industrial;0;3;0
;APOYO INDUSTRIAL;EXTRACCION;EXTRACTOR  IG-07  PASILLO 2 PISO;;VEMAQ;CCLI-380 SA;REGULAR ;;;;;industrial;0;3;0
;APOYO INDUSTRIAL;EXTRACCION;EXTRACTOR  IG-08 VESTIDORES 1 PISO;;VEMAQ;CCLI-380 SA;REGULAR ;;;;;industrial;0;3;0
;APOYO INDUSTRIAL;EXTRACCION;EXTRACTOR  IG-09  ESTERILIZACION;;VEMAQ;CCLI-460 SA;REGULAR ;;;;;industrial;0;3;0
;APOYO INDUSTRIAL;EXTRACCION;EXTRACTOR  IG-10 BAÑOS RECUPERACION;;VEMAQ;CCLI-380 SA;REGULAR ;;;;;industrial;0;3;0
;APOYO INDUSTRIAL;EXTRACCION;EXTRACTOR  IG-11 POST OPERADOS;;VEMAQ;CCLI-380 SA;REGULAR ;;;;;industrial;0;3;0
;APOYO INDUSTRIAL;EXTRACCION;EXTRACTOR  IG-12  SECTOR SOME;;VEMAQ;CCLI-300 SA;REGULAR ;;;;;industrial;0;3;0
;APOYO INDUSTRIAL;EXTRACCION;EXTRACTOR  IG-13  LAVANDERIA PISO BAJO;;VEMAQ;CCLI-380 SA;REGULAR ;;;;;industrial;0;3;0
;APOYO INDUSTRIAL;EXTRACCION;EXTRACTOR  IG-14  ANATOMIA PATOLOGICA;;VEMAQ;CCLI-380 SA;REGULAR ;;;;;industrial;0;3;0
;APOYO INDUSTRIAL;EXTRACCION;EXTRACTOR  IG-15  REANIMACION 1 PISO;;VEMAQ;CCLI-300 SA;REGULAR ;;;;;industrial;0;3;0
;APOYO INDUSTRIAL;EXTRACCION;EXTRACTOR  IG-16  COCINA;;VEMAQ;CCLI-380 SA ;REGULAR ;;;;;industrial;0;3;0
;APOYO INDUSTRIAL;EXTRACCION;EXTRACTOR  IG-17  BODEGAS DE COCINA;;VEMAQ;CCLI-530 SA;REGULAR ;;;;;industrial;0;3;0
;APOYO INDUSTRIAL;EXTRACCION;EXTRACTOR  IG-18  BAÑOS DE COCINA;;VEMAQ;CCLI-250 SA;REGULAR ;;;;;industrial;0;3;0
;APOYO INDUSTRIAL;EXTRACCION;EXTRACTOR  IG-19 GIMNASIO;;VEMAQ;CCLI-250 SA;REGULAR ;;;;;industrial;0;3;0
;APOYO INDUSTRIAL;EXTRACCION;EXTRACTOR  IG-20 VESTUARIOS DAMA PISO BAJO;;VEMAQ;CCLI-300 SA;REGULAR ;;;;;industrial;0;3;0
;APOYO INDUSTRIAL;EXTRACCION;EXTRACTOR  IG-21  BAÑOS VARONES PISO BAJO;;VEMAQ;CCLI-300 SA;REGULAR ;;;;;industrial;0;3;0
;APOYO INDUSTRIAL;EXTRACCION;EXTRACTOR  IG-22  ASISTENTE SOCIAL 1 PISO;;VEMAQ;CCLI-380 SA;REGULAR ;;;;;industrial;0;3;0
;APOYO INDUSTRIAL;EXTRACCION;EXTRACTOR  IG-23 VESTUARIO VARONES PB;;VEMAQ;CCLI-380 SA;REGULAR ;;;;;industrial;0;3;0
;APOYO INDUSTRIAL;EXTRACCION;EXTRACTOR  IG-24  VESTUARIO DAMAS  PB;;VEMAQ;CCLI-480 SA;REGULAR ;;;;;industrial;0;3;0
;APOYO INDUSTRIAL;EXTRACCION;EXTRACTOR  IG-25 TALLERES MANT Y SSGG;;VEMAQ;CCLI-300 SA;REGULAR ;;;;;industrial;0;3;0
;APOYO INDUSTRIAL;EXTRACCION;EXTRACTOR  IG-26  FARMACIA;;VEMAQ;CCLI-380 SA;REGULAR ;;;;;industrial;0;3;0
;APOYO INDUSTRIAL;EXTRACCION;EXTRACTOR  IG-27  PABELLONES;;VEMAQ;CCLI-380 SA;REGULAR ;;;;;industrial;0;3;0
;TRANSPORTE VERTICAL;TRANSPORTE DE PERSONAS;MONTACAMILLAS N 1;;THYSSENKRUPP;DISCOVERY;REGULAR ;;;;;industrial;0;3;0
;TRANSPORTE VERTICAL;TRANSPORTE DE PERSONAS;ASCENSOR N 1;;THYSSENKRUPP;DISCOVERY PANORAMICO;REGULAR ;;;;;industrial;0;3;0
;TRANSPORTE VERTICAL;TRANSPORTE DE PERSONAS;ASCENSOR N 2;;THYSSENKRUPP;DISCOVERY PANORAMICO;REGULAR ;;;;;industrial;0;3;0
;TRANSPORTE VERTICAL;TRANSPORTE DE CARGA;MINICARGAS;;THYSSENKRUPP;MH-50;REGULAR ;;;;;industrial;0;3;0
;TRANSPORTE VERTICAL;TRANSPORTE DE PERSONAS;MONTACAMILLAS TORRE C N 1;;THYSSENKRUPP;MRSYN;BUENO;;;;;industrial;0;3;0
;TRANSPORTE VERTICAL;TRANSPORTE DE PERSONAS;MONTACAMILLAS TORRE C N 2;;THYSSENKRUPP;MRSYN;BUENO;;;;;industrial;0;3;0
;TRANSPORTE VERTICAL;TRANSPORTE DE PERSONAS;MONTACAMILLAS TORRE C N 3;;THYSSENKRUPP;MRSYN;BUENO;;;;;industrial;0;3;0
